Datetime,close,high,low,trade_count,open,volume,vwap,symbol
2025-04-30 14:40:00+00:00,388.0075,388.215,387.94,806,388.11,20108,388.106467,MSFT
2025-04-30 14:41:00+00:00,387.76,387.95,387.6601,717,387.95,20286,387.78263,MSFT
2025-04-30 14:42:00+00:00,387.94,387.95,387.55,554,387.7683,20010,387.734031,MSFT
2025-04-30 14:43:00+00:00,388.36,388.46,387.83,730,387.941,39966,388.028277,MSFT
2025-04-30 14:44:00+00:00,388.64,388.71,388.32,698,388.34,32047,388.541839,MSFT
2025-04-30 14:45:00+00:00,388.5942,388.6,388.29,617,388.6,50848,388.481027,MSFT
2025-04-30 14:46:00+00:00,388.515,388.67,388.37,588,388.52,15766,388.487354,MSFT
2025-04-30 14:47:00+00:00,388.23,388.475,388.0,728,388.44,18317,388.192098,MSFT
2025-04-30 14:48:00+00:00,388.43,388.77,388.19,706,388.19,26332,388.539573,MSFT
2025-04-30 14:49:00+00:00,388.5,388.65,388.23,615,388.38,22606,388.438282,MSFT
2025-04-30 14:50:00+00:00,387.92,388.6,387.9,703,388.555,23237,388.347702,MSFT
2025-04-30 14:51:00+00:00,387.87,388.1,387.78,647,387.94,24148,387.935925,MSFT
2025-04-30 14:52:00+00:00,388.7172,388.7172,387.94,537,387.94,18895,388.328031,MSFT
2025-04-30 14:53:00+00:00,388.78,388.9,388.6,806,388.715,35818,388.780136,MSFT
2025-04-30 14:54:00+00:00,388.55,389.16,388.55,721,388.82,31431,388.879534,MSFT
2025-04-30 14:55:00+00:00,388.3316,388.59,388.2101,606,388.59,24408,388.416963,MSFT
2025-04-30 14:56:00+00:00,388.12,388.235,387.95,636,388.21,24111,388.116606,MSFT
2025-04-30 14:57:00+00:00,388.69,388.81,388.13,815,388.13,52225,388.418629,MSFT
2025-04-30 14:58:00+00:00,388.85,388.99,388.65,517,388.665,21215,388.817671,MSFT
2025-04-30 14:59:00+00:00,388.595,388.98,388.44,673,388.87,30438,388.788455,MSFT
2025-04-30 15:00:00+00:00,389.285,389.45,388.47,980,388.53,49285,388.874014,MSFT
2025-04-30 15:01:00+00:00,389.12,389.285,388.87,576,389.285,24191,389.134394,MSFT
2025-04-30 15:02:00+00:00,389.84,389.84,389.09,1018,389.09,66088,389.476848,MSFT
2025-04-30 15:03:00+00:00,389.1225,389.88,389.0501,1015,389.8,62340,389.594929,MSFT
2025-04-30 15:04:00+00:00,389.4,389.4,388.96,601,389.06,25361,389.161112,MSFT
2025-04-30 15:05:00+00:00,389.28,389.42,389.11,569,389.34,37607,389.235288,MSFT
2025-04-30 15:06:00+00:00,389.175,389.285,389.08,604,389.21,23424,389.165448,MSFT
